Date,Close,Volume
6-Jun-05,5.83,13100
7-Jun-05,5.95,8200
8-Jun-05,6.0,9300
9-Jun-05,5.98,45100
10-Jun-05,5.9,10900
13-Jun-05,6.01,40000
14-Jun-05,5.99,29200
15-Jun-05,5.97,19000
16-Jun-05,5.97,9300
17-Jun-05,6.02,40600
20-Jun-05,5.91,25000
21-Jun-05,5.88,24200
22-Jun-05,5.84,14700
23-Jun-05,5.9,16700
24-Jun-05,5.92,5400
27-Jun-05,6.0,7300
28-Jun-05,6.0,38700
29-Jun-05,6.0,23800
30-Jun-05,6.05,15800
1-Jul-05,6.03,7700
5-Jul-05,6.34,31400
6-Jul-05,6.22,17400
7-Jul-05,6.28,6400
8-Jul-05,6.48,18900
11-Jul-05,6.38,18100
12-Jul-05,6.26,13700
13-Jul-05,6.4,43500
14-Jul-05,6.38,27100
15-Jul-05,6.38,9500
18-Jul-05,6.35,5400
19-Jul-05,6.35,7700
20-Jul-05,6.34,6900
21-Jul-05,6.34,6700
22-Jul-05,6.34,10100
25-Jul-05,6.3,45400
26-Jul-05,6.34,11900
27-Jul-05,6.38,22400
28-Jul-05,6.35,7200
29-Jul-05,6.32,7100
1-Aug-05,6.38,18000
2-Aug-05,6.37,15800
3-Aug-05,6.39,3500
4-Aug-05,6.37,8300
5-Aug-05,6.5,18300
8-Aug-05,6.4,15300
9-Aug-05,6.49,8600
10-Aug-05,6.5,26600
11-Aug-05,6.5,20900
12-Aug-05,6.54,17100
15-Aug-05,6.33,44700
16-Aug-05,6.36,26100
17-Aug-05,6.46,15200
18-Aug-05,6.51,38300
19-Aug-05,6.5,17100
22-Aug-05,6.5,15600
23-Aug-05,6.44,11600
24-Aug-05,6.34,29300
25-Aug-05,6.17,35100
26-Aug-05,6.15,38000
29-Aug-05,6.18,37900
30-Aug-05,6.25,26200
31-Aug-05,6.25,28300
1-Sep-05,6.31,9300
2-Sep-05,6.28,7000
6-Sep-05,6.4,20700
7-Sep-05,6.4,6900
8-Sep-05,6.58,31800
9-Sep-05,6.58,28500
12-Sep-05,6.62,10400
13-Sep-05,6.68,13100
14-Sep-05,6.66,10700
15-Sep-05,6.7,22700
